time,symbol,open,high,low,close,volume
2026-05-25 03:45:00+00,NIFTY,23940.25,23983.45,23922.85,23967.35,7590628
2026-05-25 03:45:00+00,BANKNIFTY,54610.55,54809.8,54590.7,54794.8,3820340
2026-05-25 03:46:00+00,NIFTY,23963.95,23979.25,23960.85,23973.25,1456746
2026-05-25 03:46:00+00,BANKNIFTY,54791.75,54834.35,54786.7,54822.85,1163601
2026-05-25 03:47:00+00,NIFTY,23968.2,23976.6,23967.6,23970.65,1409785
2026-05-25 03:47:00+00,BANKNIFTY,54811.4,54826.9,54811.25,54814.85,730515
2026-05-25 03:48:00+00,NIFTY,23982.2,23984.35,23975.25,23978.75,965133
2026-05-25 03:48:00+00,BANKNIFTY,54886,54905.55,54886,54897.25,706872
2026-05-25 03:49:00+00,NIFTY,23970.6,23971.65,23961.85,23967.25,898367
2026-05-25 03:49:00+00,BANKNIFTY,54881.15,54881.15,54845.9,54872.35,565023
2026-05-25 03:50:00+00,NIFTY,23968.75,23969.4,23958.75,23960,959685
2026-05-25 03:50:00+00,BANKNIFTY,54877.95,54886.7,54861.95,54875.7,1065147
2026-05-25 03:51:00+00,NIFTY,23970.75,23976.7,23968.9,23970.9,686552
2026-05-25 03:51:00+00,BANKNIFTY,54856.3,54870.85,54854.55,54855.4,968397
2026-05-25 03:52:00+00,NIFTY,23975.2,23981.4,23970.2,23978.3,638233
2026-05-25 03:52:00+00,BANKNIFTY,54855.15,54872.95,54851.6,54869.95,679720
2026-05-25 03:53:00+00,NIFTY,23966.9,23967.75,23959.05,23962.15,544280
2026-05-25 03:53:00+00,BANKNIFTY,54854.5,54856.45,54834.35,54842.95,1411541
2026-05-25 03:54:00+00,NIFTY,23979.1,23987.05,23975.65,23985.55,707192
2026-05-25 03:54:00+00,BANKNIFTY,54880.05,54937.5,54880.05,54928.9,920644
2026-05-25 03:55:00+00,NIFTY,23979.5,23989.1,23975.75,23985.15,1144375
2026-05-25 03:55:00+00,BANKNIFTY,54928.35,54974.4,54924.85,54965.2,928421
2026-05-25 03:56:00+00,NIFTY,23986.7,23987.5,23982.35,23983.7,612063
2026-05-25 03:56:00+00,BANKNIFTY,54944.1,54948.65,54925.9,54938.5,423936
2026-05-25 03:57:00+00,NIFTY,23982,23982,23971.25,23972.55,1180646
2026-05-25 03:57:00+00,BANKNIFTY,54930.4,54934.15,54912.1,54916,471682
2026-05-25 03:58:00+00,NIFTY,23983.4,23983.4,23976.7,23977.6,469110
2026-05-25 03:58:00+00,BANKNIFTY,54927.7,54935.1,54919.2,54929.35,614944
2026-05-25 03:59:00+00,NIFTY,23979.9,23981.8,23974.5,23976.8,623302
2026-05-25 03:59:00+00,BANKNIFTY,54949.65,54949.65,54926.6,54930.6,488146
2026-05-25 04:00:00+00,NIFTY,23981.95,23984.3,23979.3,23979.85,835517
2026-05-25 04:00:00+00,BANKNIFTY,54939.35,54947.75,54928,54943.6,708305
2026-05-25 04:01:00+00,NIFTY,23970.35,23972.35,23963.2,23969.75,850545
2026-05-25 04:01:00+00,BANKNIFTY,54928.4,54933.35,54908.65,54923.25,588276
2026-05-25 04:02:00+00,NIFTY,23960.5,23964,23957.4,23959.15,955123
2026-05-25 04:02:00+00,BANKNIFTY,54918.15,54938.2,54912.7,54929.5,682123
2026-05-25 04:03:00+00,NIFTY,23960,23961.95,23957.15,23961.4,496668
2026-05-25 04:03:00+00,BANKNIFTY,54927.45,54932.75,54915.55,54923.15,376037
2026-05-25 04:04:00+00,NIFTY,23966.15,23966.15,23955.45,23956.5,588024
2026-05-25 04:04:00+00,BANKNIFTY,54902.6,54904.85,54889.1,54892.2,278125
2026-05-25 04:05:00+00,NIFTY,23961.6,23961.7,23951.95,23956.35,631099
2026-05-25 04:05:00+00,BANKNIFTY,54910.8,54912.2,54885.05,54890.25,1022216
2026-05-25 04:06:00+00,NIFTY,23952.75,23952.75,23943.9,23947,750220
2026-05-25 04:06:00+00,BANKNIFTY,54897.05,54897.05,54883.1,54886.55,536981
2026-05-25 04:07:00+00,NIFTY,23947.9,23949.9,23941.5,23948.8,514685
2026-05-25 04:07:00+00,BANKNIFTY,54871.45,54878.35,54864.25,54876.75,509248
2026-05-25 04:08:00+00,NIFTY,23953.2,23953.55,23945.45,23945.45,587086
2026-05-25 04:08:00+00,BANKNIFTY,54901.1,54906.05,54883.2,54883.2,506957
2026-05-25 04:09:00+00,NIFTY,23942.2,23943.6,23938.55,23941.4,501599
2026-05-25 04:09:00+00,BANKNIFTY,54877.2,54882.65,54863.25,54882.65,512698
2026-05-25 04:10:00+00,NIFTY,23943.2,23943.2,23931.5,23932.95,1221966
2026-05-25 04:10:00+00,BANKNIFTY,54882.3,54882.3,54864.4,54876.7,801047
2026-05-25 04:11:00+00,NIFTY,23943.8,23944.9,23938.9,23939.65,666435
2026-05-25 04:11:00+00,BANKNIFTY,54901.95,54901.95,54891.45,54896.85,486765
2026-05-25 04:12:00+00,NIFTY,23936.8,23939.2,23933.65,23939.2,370007
2026-05-25 04:12:00+00,BANKNIFTY,54883.05,54902.45,54881.35,54902.45,247501
2026-05-25 04:13:00+00,NIFTY,23939.8,23939.8,23928.9,23929.75,514817
2026-05-25 04:13:00+00,BANKNIFTY,54895.85,54895.85,54871.2,54878.15,266565
2026-05-25 04:14:00+00,NIFTY,23932.55,23941.2,23930.2,23939,477634
2026-05-25 04:14:00+00,BANKNIFTY,54886.95,54916.55,54884.2,54907.7,373774
2026-05-25 04:15:00+00,NIFTY,23951.45,23951.45,23942.75,23942.75,614019
2026-05-25 04:15:00+00,BANKNIFTY,54918.55,54919.5,54901.55,54905.55,247668
2026-05-25 04:21:00+00,NIFTY,23939.15,23945.2,23936.55,23944.3,536670
2026-05-25 04:21:00+00,BANKNIFTY,54869.35,54875.1,54861.35,54874.2,352068
2026-05-25 04:22:00+00,NIFTY,23943.7,23943.7,23929.8,23929.8,620469
2026-05-25 04:22:00+00,BANKNIFTY,54865.55,54865.9,54837.9,54837.9,383892
2026-05-25 04:23:00+00,NIFTY,23936.6,23939.85,23932.3,23934.35,604915
2026-05-25 04:23:00+00,BANKNIFTY,54846.25,54850.95,54835.45,54844,573400
2026-05-25 04:24:00+00,NIFTY,23930.3,23934.9,23928.85,23934.9,616308
2026-05-25 04:24:00+00,BANKNIFTY,54833.15,54861.95,54830.05,54861,838889
2026-05-25 04:25:00+00,NIFTY,23938.35,23939.1,23928.95,23930.75,484759
2026-05-25 04:25:00+00,BANKNIFTY,54861.85,54869.1,54845.4,54846.75,397290
2026-05-25 04:26:00+00,NIFTY,23932.9,23936.1,23930.95,23934.7,479949
2026-05-25 04:26:00+00,BANKNIFTY,54850.1,54866.55,54846.1,54858.95,958405
2026-05-25 04:27:00+00,NIFTY,23936.75,23938.5,23932.35,23937.4,844119
2026-05-25 04:27:00+00,BANKNIFTY,54857.65,54870.85,54857.65,54866.7,730231
2026-05-25 04:28:00+00,NIFTY,23939.15,23939.6,23935.3,23936.6,749201
2026-05-25 04:28:00+00,BANKNIFTY,54857.1,54862.4,54846.85,54858.45,346148
2026-05-25 04:35:00+00,NIFTY,23944.95,23946.6,23942.2,23944.65,628790
2026-05-25 04:35:00+00,BANKNIFTY,54940.3,54951.65,54931.4,54947.65,558546
2026-05-25 04:36:00+00,NIFTY,23947.15,23947.4,23943.3,23944.8,728912
2026-05-25 04:36:00+00,BANKNIFTY,54953.8,54961.7,54934.7,54938.5,500390
2026-05-25 04:37:00+00,NIFTY,23950,23950,23944.15,23945.2,814144
2026-05-25 04:37:00+00,BANKNIFTY,54945.85,54946.3,54921.6,54925.45,492770
2026-05-25 04:38:00+00,NIFTY,23945.65,23947.05,23941.05,23943,694397
2026-05-25 04:38:00+00,BANKNIFTY,54929,54929,54906.55,54912.45,297411
2026-05-25 04:39:00+00,NIFTY,23946.95,23952.55,23944.05,23951.75,599411
2026-05-25 04:39:00+00,BANKNIFTY,54927.95,54950.1,54921.8,54944.6,525477
2026-05-25 04:46:00+00,NIFTY,23958.35,23958.45,23952.9,23953.6,756496
2026-05-25 04:46:00+00,BANKNIFTY,54976.8,54980.45,54954.35,54959.65,808434
2026-05-25 04:47:00+00,NIFTY,23957.6,23971.45,23955.45,23968.9,713025
2026-05-25 04:47:00+00,BANKNIFTY,54956.3,54984.65,54949.8,54984.35,437653
2026-05-25 05:59:00+00,NIFTY,23979.45,23979.45,23975.15,23978.4,313388
2026-05-25 05:59:00+00,BANKNIFTY,55073.3,55084,55071.45,55077.2,268379
2026-05-25 06:00:00+00,NIFTY,23978.45,23978.45,23974.75,23976.3,285578
2026-05-25 06:00:00+00,BANKNIFTY,55083.05,55083.75,55068,55076.1,259693
2026-05-25 06:01:00+00,NIFTY,23976.05,23978.65,23973.25,23974.5,269870
2026-05-25 06:01:00+00,BANKNIFTY,55072.05,55076.05,55061.9,55068,194489
2026-05-25 06:02:00+00,NIFTY,23975.95,23975.95,23971.75,23973.9,350392
2026-05-25 06:02:00+00,BANKNIFTY,55070.75,55083.1,55064.55,55078.5,208104
2026-05-25 06:03:00+00,NIFTY,23972.8,23972.8,23966.95,23971.05,262222
2026-05-25 06:03:00+00,BANKNIFTY,55078.5,55078.5,55062.3,55072.8,184873
2026-05-25 06:04:00+00,NIFTY,23964.95,23968.85,23962.4,23963.25,392315
2026-05-25 06:04:00+00,BANKNIFTY,55064,55075.15,55058.25,55068.1,183686
2026-05-25 06:05:00+00,NIFTY,23961.45,23966.1,23960.55,23964.95,400969
2026-05-25 06:05:00+00,BANKNIFTY,55061.7,55069.6,55055.3,55063.6,262812
2026-05-25 06:06:00+00,NIFTY,23968.2,23973.55,23964.3,23972.25,346468
2026-05-25 06:06:00+00,BANKNIFTY,55063.95,55068,55054.45,55059.6,231160
2026-05-25 06:11:00+00,NIFTY,23990.45,23990.45,23985.65,23986.2,283213
2026-05-25 06:11:00+00,BANKNIFTY,55111.6,55113.55,55099.75,55103.15,315497
2026-05-25 06:12:00+00,NIFTY,23988.35,23988.35,23981.55,23984,292790
