time,symbol,expiry,strike,option_type,features,label
2026-05-18 09:59:00+00,NIFTY,2026-05-19,23650,CE,"{""pcr_oi"": 1.3655552680381249, ""bs_ce_iv"": 0.18457024389843404, ""bs_pe_iv"": 0.19366421437959286, ""atm_ce_iv"": 17.82735469030858, ""atm_ce_oi"": 3570775.0, ""atm_pe_iv"": 19.986124824946756, ""atm_pe_oi"": 3255655.0, ""atm_ce_ltp"": 100.4, ""atm_pe_ltp"": 106.7, ""bs_ce_vega"": 5.475243398898874, ""bs_pe_vega"": 5.47524229246961, ""delta_skew"": -0.4939372580645161, ""atm_ce_vega"": 5.4742, ""atm_pe_vega"": 5.47447, ""bs_ce_delta"": 0.5000569655724151, ""bs_ce_gamma"": 0.0015749073376101093, ""bs_ce_theta"": -43.17220247106496, ""bs_pe_delta"": -0.49974006024827067, ""bs_pe_gamma"": 0.0015009534601471484, ""bs_pe_theta"": -40.98572165851261, ""index_close"": 23643.5, ""iv_skew_otm"": 5.233205908988406, ""time_of_day"": 44, ""atm_ce_delta"": 0.51106, ""atm_ce_gamma"": 0.00163, ""atm_ce_theta"": -42.95714, ""atm_pe_delta"": -0.48966, ""atm_pe_theta"": -41.27832, ""index_rsi_14"": 60.533841754050634, ""is_expiry_day"": 0, ""days_to_expiry"": 1, ""gamma_exposure"": 178404.304, ""theta_pressure"": 681.8262900000001, ""index_return_1m"": 0.000023262748514854213, ""index_return_5m"": -0.00041431850946799275, ""atm_ce_oi_change"": 2189330.0, ""atm_option_close"": 95.35, ""atm_pe_oi_change"": 1084070.0, ""index_return_15m"": 0.00042312818668415597, ""index_trend_ma_9"": -4.0, ""index_trend_ma_21"": 3.980952380952658, ""index_trend_ma_50"": 18.338000000003376, ""ce_oi_concentration"": 0.29779661016949155, ""pe_oi_concentration"": 0.2855639982528575, ""atm_option_range_15m"": 18.950000000000003, ""atm_option_return_1m"": -0.013960703205791195, ""atm_option_return_5m"": -0.07516973811833172, ""index_volatility_15m"": 0.00021421095015636334, ""selected_security_id"": 51364, ""distance_from_max_pain"": 43.5, ""index_distance_from_vwap"": 129.26366140758182, ""atm_option_volatility_15m"": 0.044246061172472755, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": 0.0005495948065739265, ""pe_iv_slope_across_strikes"": -0.0016800818539512723}",0
2026-05-18 09:59:00+00,NIFTY,2026-05-19,23650,PE,"{""pcr_oi"": 1.3655552680381249, ""bs_ce_iv"": 0.18457024389843404, ""bs_pe_iv"": 0.19366421437959286, ""atm_ce_iv"": 17.82735469030858, ""atm_ce_oi"": 3570775.0, ""atm_pe_iv"": 19.986124824946756, ""atm_pe_oi"": 3255655.0, ""atm_ce_ltp"": 100.4, ""atm_pe_ltp"": 106.7, ""bs_ce_vega"": 5.475243398898874, ""bs_pe_vega"": 5.47524229246961, ""delta_skew"": -0.4939372580645161, ""atm_ce_vega"": 5.4742, ""atm_pe_vega"": 5.47447, ""bs_ce_delta"": 0.5000569655724151, ""bs_ce_gamma"": 0.0015749073376101093, ""bs_ce_theta"": -43.17220247106496, ""bs_pe_delta"": -0.49974006024827067, ""bs_pe_gamma"": 0.0015009534601471484, ""bs_pe_theta"": -40.98572165851261, ""index_close"": 23643.5, ""iv_skew_otm"": 5.233205908988406, ""time_of_day"": 44, ""atm_ce_delta"": 0.51106, ""atm_ce_gamma"": 0.00163, ""atm_ce_theta"": -42.95714, ""atm_pe_delta"": -0.48966, ""atm_pe_theta"": -41.27832, ""index_rsi_14"": 60.533841754050634, ""is_expiry_day"": 0, ""days_to_expiry"": 1, ""gamma_exposure"": 178404.304, ""theta_pressure"": 681.8262900000001, ""index_return_1m"": 0.000023262748514854213, ""index_return_5m"": -0.00041431850946799275, ""atm_ce_oi_change"": 2189330.0, ""atm_option_close"": 114.8, ""atm_pe_oi_change"": 1084070.0, ""index_return_15m"": 0.00042312818668415597, ""index_trend_ma_9"": -4.0, ""index_trend_ma_21"": 3.980952380952658, ""index_trend_ma_50"": 18.338000000003376, ""ce_oi_concentration"": 0.29779661016949155, ""pe_oi_concentration"": 0.2855639982528575, ""atm_option_range_15m"": 28.05000000000001, ""atm_option_return_1m"": 0.007017543859649098, ""atm_option_return_5m"": 0.06542923433874707, ""index_volatility_15m"": 0.00021421095015636334, ""selected_security_id"": 51365, ""distance_from_max_pain"": 43.5, ""index_distance_from_vwap"": 129.26366140758182, ""atm_option_volatility_15m"": 0.03791221409779843, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": 0.0005495948065739265, ""pe_iv_slope_across_strikes"": -0.0016800818539512723}",0
2026-05-18 09:59:00+00,BANKNIFTY,2026-05-26,53500,CE,"{""pcr_oi"": 0.7959134136521983, ""bs_ce_iv"": 0.25841158172545514, ""bs_pe_iv"": 0.22620506650739677, ""atm_ce_iv"": 25.251431809742957, ""atm_ce_oi"": 287040.0, ""atm_pe_iv"": 23.173131870703276, ""atm_pe_oi"": 523230.0, ""atm_ce_ltp"": 881.95, ""atm_pe_ltp"": 672.7, ""bs_ce_vega"": 31.98582159363584, ""bs_pe_vega"": 31.974439338666784, ""delta_skew"": -0.4986651239669422, ""atm_ce_vega"": 31.93442, ""atm_pe_vega"": 31.92046, ""bs_ce_delta"": 0.5281450796847662, ""bs_ce_gamma"": 0.00019159557895637427, ""bs_ce_theta"": -55.093975307946536, ""bs_pe_delta"": -0.4699162074894102, ""bs_pe_gamma"": 0.00021879659417543883, ""bs_pe_theta"": -39.3430888751225, ""index_close"": 53527.9, ""iv_skew_otm"": -4.53988225209649, ""time_of_day"": 44, ""atm_ce_delta"": 0.53564, ""atm_ce_gamma"": 0.0002, ""atm_ce_theta"": -56.6042, ""atm_pe_delta"": -0.46246, ""atm_pe_theta"": -37.97377, ""index_rsi_14"": 56.013179571664686, ""is_expiry_day"": 0, ""days_to_expiry"": 8, ""gamma_exposure"": 2820.1854000000003, ""theta_pressure"": 470.958, ""index_return_1m"": 0.00011584086454661129, ""index_return_5m"": -0.000042966400274903414, ""atm_ce_oi_change"": 122940.0, ""atm_option_close"": 871.8, ""atm_pe_oi_change"": 38670.0, ""index_return_15m"": 0.000347603126933048, ""index_trend_ma_9"": 4.972222222226264, ""index_trend_ma_21"": 18.63571428571595, ""index_trend_ma_50"": 48.146000000007916, ""ce_oi_concentration"": 0.346857637406695, ""pe_oi_concentration"": 0.27240279816764607, ""atm_option_range_15m"": 54.15000000000009, ""atm_option_return_1m"": 0.003626316698324961, ""atm_option_return_5m"": -0.008134706183514523, ""index_volatility_15m"": 0.0003324292126457013, ""selected_security_id"": 67184, ""distance_from_max_pain"": -1572.0999999999985, ""index_distance_from_vwap"": 289.9724481654994, ""atm_option_volatility_15m"": 0.01331915906671737, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": -0.0005721359107864035, ""pe_iv_slope_across_strikes"": -0.0002204151513789506}",0
2026-05-18 09:59:00+00,BANKNIFTY,2026-05-26,53500,PE,"{""pcr_oi"": 0.7959134136521983, ""bs_ce_iv"": 0.25841158172545514, ""bs_pe_iv"": 0.22620506650739677, ""atm_ce_iv"": 25.251431809742957, ""atm_ce_oi"": 287040.0, ""atm_pe_iv"": 23.173131870703276, ""atm_pe_oi"": 523230.0, ""atm_ce_ltp"": 881.95, ""atm_pe_ltp"": 672.7, ""bs_ce_vega"": 31.98582159363584, ""bs_pe_vega"": 31.974439338666784, ""delta_skew"": -0.4986651239669422, ""atm_ce_vega"": 31.93442, ""atm_pe_vega"": 31.92046, ""bs_ce_delta"": 0.5281450796847662, ""bs_ce_gamma"": 0.00019159557895637427, ""bs_ce_theta"": -55.093975307946536, ""bs_pe_delta"": -0.4699162074894102, ""bs_pe_gamma"": 0.00021879659417543883, ""bs_pe_theta"": -39.3430888751225, ""index_close"": 53527.9, ""iv_skew_otm"": -4.53988225209649, ""time_of_day"": 44, ""atm_ce_delta"": 0.53564, ""atm_ce_gamma"": 0.0002, ""atm_ce_theta"": -56.6042, ""atm_pe_delta"": -0.46246, ""atm_pe_theta"": -37.97377, ""index_rsi_14"": 56.013179571664686, ""is_expiry_day"": 0, ""days_to_expiry"": 8, ""gamma_exposure"": 2820.1854000000003, ""theta_pressure"": 470.958, ""index_return_1m"": 0.00011584086454661129, ""index_return_5m"": -0.000042966400274903414, ""atm_ce_oi_change"": 122940.0, ""atm_option_close"": 684.75, ""atm_pe_oi_change"": 38670.0, ""index_return_15m"": 0.000347603126933048, ""index_trend_ma_9"": 4.972222222226264, ""index_trend_ma_21"": 18.63571428571595, ""index_trend_ma_50"": 48.146000000007916, ""ce_oi_concentration"": 0.346857637406695, ""pe_oi_concentration"": 0.27240279816764607, ""atm_option_range_15m"": 64.29999999999995, ""atm_option_return_1m"": -0.006240476017705471, ""atm_option_return_5m"": 0.027150678766969208, ""index_volatility_15m"": 0.0003324292126457013, ""selected_security_id"": 67187, ""distance_from_max_pain"": -1572.0999999999985, ""index_distance_from_vwap"": 289.9724481654994, ""atm_option_volatility_15m"": 0.01913760682826853, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": -0.0005721359107864035, ""pe_iv_slope_across_strikes"": -0.0002204151513789506}",0
2026-05-18 09:58:00+00,NIFTY,2026-05-19,23650,CE,"{""pcr_oi"": 1.3760634368092435, ""bs_ce_iv"": 0.17415295509577136, ""bs_pe_iv"": 0.20634797155831378, ""atm_ce_iv"": 16.917090565446156, ""atm_ce_oi"": 3704610.0, ""atm_pe_iv"": 21.121194868378886, ""atm_pe_oi"": 3459235.0, ""atm_ce_ltp"": 94.45, ""atm_pe_ltp"": 113.95, ""bs_ce_vega"": 5.476640829983971, ""bs_pe_vega"": 5.47666064401149, ""delta_skew"": -0.49147266129032263, ""atm_ce_vega"": 5.47619, ""atm_pe_vega"": 5.4764, ""bs_ce_delta"": 0.49890022744403484, ""bs_ce_gamma"": 0.001668674860790239, ""bs_ce_theta"": -40.837507551413225, ""bs_pe_delta"": -0.5002405957702931, ""bs_pe_gamma"": 0.0014083284041482185, ""bs_pe_theta"": -43.791695989953, ""index_close"": 23642.95, ""iv_skew_otm"": 5.147282115571141, ""time_of_day"": 43, ""atm_ce_delta"": 0.50809, ""atm_ce_gamma"": 0.00172, ""atm_ce_theta"": -40.9071, ""atm_pe_delta"": -0.49278, ""atm_pe_theta"": -43.77405, ""index_rsi_14"": 58.92351274787592, ""is_expiry_day"": 0, ""days_to_expiry"": 1, ""gamma_exposure"": 183034.10905000003, ""theta_pressure"": 685.1352899999999, ""index_return_1m"": -0.00008035576457443448, ""index_return_5m"": -0.0003805183082156017, ""atm_ce_oi_change"": 2323165.0, ""atm_option_close"": 95.35, ""atm_pe_oi_change"": 1287650.0, ""index_return_15m"": 0.0003300169451008042, ""index_trend_ma_9"": -3.0833333333321207, ""index_trend_ma_21"": 2.740476190476329, ""index_trend_ma_50"": 18.834999999999127, ""ce_oi_concentration"": 0.2971579513895261, ""pe_oi_concentration"": 0.28721069120844933, ""atm_option_range_15m"": 18.950000000000003, ""atm_option_return_1m"": -0.013960703205791195, ""atm_option_return_5m"": -0.07516973811833172, ""index_volatility_15m"": 0.00021570772081430314, ""selected_security_id"": 51364, ""distance_from_max_pain"": 42.95000000000073, ""index_distance_from_vwap"": 129.13410745800502, ""atm_option_volatility_15m"": 0.044246061172472755, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": 0.000558153573000937, ""pe_iv_slope_across_strikes"": -0.001681923749769291}",0
2026-05-18 09:58:00+00,NIFTY,2026-05-19,23650,PE,"{""pcr_oi"": 1.3760634368092435, ""bs_ce_iv"": 0.17415295509577136, ""bs_pe_iv"": 0.20634797155831378, ""atm_ce_iv"": 16.917090565446156, ""atm_ce_oi"": 3704610.0, ""atm_pe_iv"": 21.121194868378886, ""atm_pe_oi"": 3459235.0, ""atm_ce_ltp"": 94.45, ""atm_pe_ltp"": 113.95, ""bs_ce_vega"": 5.476640829983971, ""bs_pe_vega"": 5.47666064401149, ""delta_skew"": -0.49147266129032263, ""atm_ce_vega"": 5.47619, ""atm_pe_vega"": 5.4764, ""bs_ce_delta"": 0.49890022744403484, ""bs_ce_gamma"": 0.001668674860790239, ""bs_ce_theta"": -40.837507551413225, ""bs_pe_delta"": -0.5002405957702931, ""bs_pe_gamma"": 0.0014083284041482185, ""bs_pe_theta"": -43.791695989953, ""index_close"": 23642.95, ""iv_skew_otm"": 5.147282115571141, ""time_of_day"": 43, ""atm_ce_delta"": 0.50809, ""atm_ce_gamma"": 0.00172, ""atm_ce_theta"": -40.9071, ""atm_pe_delta"": -0.49278, ""atm_pe_theta"": -43.77405, ""index_rsi_14"": 58.92351274787592, ""is_expiry_day"": 0, ""days_to_expiry"": 1, ""gamma_exposure"": 183034.10905000003, ""theta_pressure"": 685.1352899999999, ""index_return_1m"": -0.00008035576457443448, ""index_return_5m"": -0.0003805183082156017, ""atm_ce_oi_change"": 2323165.0, ""atm_option_close"": 114.8, ""atm_pe_oi_change"": 1287650.0, ""index_return_15m"": 0.0003300169451008042, ""index_trend_ma_9"": -3.0833333333321207, ""index_trend_ma_21"": 2.740476190476329, ""index_trend_ma_50"": 18.834999999999127, ""ce_oi_concentration"": 0.2971579513895261, ""pe_oi_concentration"": 0.28721069120844933, ""atm_option_range_15m"": 28.05000000000001, ""atm_option_return_1m"": 0.007017543859649098, ""atm_option_return_5m"": 0.06542923433874707, ""index_volatility_15m"": 0.00021570772081430314, ""selected_security_id"": 51365, ""distance_from_max_pain"": 42.95000000000073, ""index_distance_from_vwap"": 129.13410745800502, ""atm_option_volatility_15m"": 0.03791221409779843, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": 0.000558153573000937, ""pe_iv_slope_across_strikes"": -0.001681923749769291}",0
2026-05-18 09:58:00+00,BANKNIFTY,2026-05-26,53500,CE,"{""pcr_oi"": 0.7963825361738016, ""bs_ce_iv"": 0.25787471463592776, ""bs_pe_iv"": 0.2269883610529848, ""atm_ce_iv"": 25.140519786043264, ""atm_ce_oi"": 286620.0, ""atm_pe_iv"": 23.36336314728031, ""atm_pe_oi"": 524430.0, ""atm_ce_ltp"": 877.0, ""atm_pe_ltp"": 678.15, ""bs_ce_vega"": 31.989931391916194, ""bs_pe_vega"": 31.98042721311159, ""delta_skew"": -0.4982315702479339, ""atm_ce_vega"": 31.93725, ""atm_pe_vega"": 31.92176, ""bs_ce_delta"": 0.5269816949548594, ""bs_ce_gamma"": 0.0001920474138427461, ""bs_ce_theta"": -54.981067059024156, ""bs_pe_delta"": -0.4713244285058198, ""bs_pe_gamma"": 0.00021811452457841325, ""bs_pe_theta"": -39.48591328715726, ""index_close"": 53521.7, ""iv_skew_otm"": -4.566190279102635, ""time_of_day"": 43, ""atm_ce_delta"": 0.5352, ""atm_ce_gamma"": 0.0002, ""atm_ce_theta"": -56.38389, ""atm_pe_delta"": -0.46236, ""atm_pe_theta"": -38.34081, ""index_rsi_14"": 52.908067542212564, ""is_expiry_day"": 0, ""days_to_expiry"": 8, ""gamma_exposure"": 2828.5989, ""theta_pressure"": 471.16729999999995, ""index_return_1m"": 0.0003719501026132612, ""index_return_5m"": -0.00042208040818548045, ""atm_ce_oi_change"": 122520.0, ""atm_option_close"": 871.8, ""atm_pe_oi_change"": 39870.0, ""index_return_15m"": 0.0001392152557495824, ""index_trend_ma_9"": 3.6666666666642413, ""index_trend_ma_21"": 9.538095238094684, ""index_trend_ma_50"": 44.66400000000431, ""ce_oi_concentration"": 0.34593817614093686, ""pe_oi_concentration"": 0.2722354014023395, ""atm_option_range_15m"": 54.15000000000009, ""atm_option_return_1m"": 0.003626316698324961, ""atm_option_return_5m"": -0.008134706183514523, ""index_volatility_15m"": 0.0003326353227828966, ""selected_security_id"": 67184, ""distance_from_max_pain"": -1578.300000000003, ""index_distance_from_vwap"": 285.4949256360778, ""atm_option_volatility_15m"": 0.01331915906671737, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": -0.0005721594348897852, ""pe_iv_slope_across_strikes"": -0.0002171950848869928}",0
2026-05-18 09:58:00+00,BANKNIFTY,2026-05-26,53500,PE,"{""pcr_oi"": 0.7963825361738016, ""bs_ce_iv"": 0.25787471463592776, ""bs_pe_iv"": 0.2269883610529848, ""atm_ce_iv"": 25.140519786043264, ""atm_ce_oi"": 286620.0, ""atm_pe_iv"": 23.36336314728031, ""atm_pe_oi"": 524430.0, ""atm_ce_ltp"": 877.0, ""atm_pe_ltp"": 678.15, ""bs_ce_vega"": 31.989931391916194, ""bs_pe_vega"": 31.98042721311159, ""delta_skew"": -0.4982315702479339, ""atm_ce_vega"": 31.93725, ""atm_pe_vega"": 31.92176, ""bs_ce_delta"": 0.5269816949548594, ""bs_ce_gamma"": 0.0001920474138427461, ""bs_ce_theta"": -54.981067059024156, ""bs_pe_delta"": -0.4713244285058198, ""bs_pe_gamma"": 0.00021811452457841325, ""bs_pe_theta"": -39.48591328715726, ""index_close"": 53521.7, ""iv_skew_otm"": -4.566190279102635, ""time_of_day"": 43, ""atm_ce_delta"": 0.5352, ""atm_ce_gamma"": 0.0002, ""atm_ce_theta"": -56.38389, ""atm_pe_delta"": -0.46236, ""atm_pe_theta"": -38.34081, ""index_rsi_14"": 52.908067542212564, ""is_expiry_day"": 0, ""days_to_expiry"": 8, ""gamma_exposure"": 2828.5989, ""theta_pressure"": 471.16729999999995, ""index_return_1m"": 0.0003719501026132612, ""index_return_5m"": -0.00042208040818548045, ""atm_ce_oi_change"": 122520.0, ""atm_option_close"": 684.75, ""atm_pe_oi_change"": 39870.0, ""index_return_15m"": 0.0001392152557495824, ""index_trend_ma_9"": 3.6666666666642413, ""index_trend_ma_21"": 9.538095238094684, ""index_trend_ma_50"": 44.66400000000431, ""ce_oi_concentration"": 0.34593817614093686, ""pe_oi_concentration"": 0.2722354014023395, ""atm_option_range_15m"": 64.29999999999995, ""atm_option_return_1m"": -0.006240476017705471, ""atm_option_return_5m"": 0.027150678766969208, ""index_volatility_15m"": 0.0003326353227828966, ""selected_security_id"": 67187, ""distance_from_max_pain"": -1578.300000000003, ""index_distance_from_vwap"": 285.4949256360778, ""atm_option_volatility_15m"": 0.01913760682826853, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": -0.0005721594348897852, ""pe_iv_slope_across_strikes"": -0.0002171950848869928}",0
2026-05-18 09:57:00+00,NIFTY,2026-05-19,23650,CE,"{""pcr_oi"": 1.375349689741337, ""bs_ce_iv"": 0.175650993070605, ""bs_pe_iv"": 0.20902660144517726, ""atm_ce_iv"": 16.92786861367319, ""atm_ce_oi"": 3848130.0, ""atm_pe_iv"": 21.524776367738994, ""atm_pe_oi"": 3487835.0, ""atm_ce_ltp"": 96.25, ""atm_pe_ltp"": 114.5, ""bs_ce_vega"": 5.478571607033777, ""bs_pe_vega"": 5.478541965056122, ""delta_skew"": -0.4969413709677419, ""atm_ce_vega"": 5.47639, ""atm_pe_vega"": 5.47727, ""bs_ce_delta"": 0.5020928719802239, ""bs_ce_gamma"": 0.0016538275694525783, ""bs_ce_theta"": -41.17587985853487, ""bs_pe_delta"": -0.4975297155514503, ""bs_pe_gamma"": 0.0013897507838408318, ""bs_pe_theta"": -44.38864824357968, ""index_close"": 23644.85, ""iv_skew_otm"": 4.981935064536287, ""time_of_day"": 42, ""atm_ce_delta"": 0.51384, ""atm_ce_gamma"": 0.00171, ""atm_ce_theta"": -40.94779, ""atm_pe_delta"": -0.48816, ""atm_pe_theta"": -44.68118, ""index_rsi_14"": 59.203036053127406, ""is_expiry_day"": 0, ""days_to_expiry"": 1, ""gamma_exposure"": 185744.58109999998, ""theta_pressure"": 696.03812, ""index_return_1m"": -0.00015222985015940507, ""index_return_5m"": -0.00032131977871223416, ""atm_ce_oi_change"": 2466685.0, ""atm_option_close"": 95.35, ""atm_pe_oi_change"": 1316250.0, ""index_return_15m"": 0.000171313999526212, ""index_trend_ma_9"": 0.45555555555256433, ""index_trend_ma_21"": 3.814285714284779, ""index_trend_ma_50"": 21.783999999996013, ""ce_oi_concentration"": 0.2975006308128667, ""pe_oi_concentration"": 0.287866836875725, ""atm_option_range_15m"": 18.950000000000003, ""atm_option_return_1m"": -0.013960703205791195, ""atm_option_return_5m"": -0.07516973811833172, ""index_volatility_15m"": 0.0002247835293410407, ""selected_security_id"": 51364, ""distance_from_max_pain"": 44.849999999998545, ""index_distance_from_vwap"": 131.6025355780621, ""atm_option_volatility_15m"": 0.044246061172472755, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": 0.0005591691815944186, ""pe_iv_slope_across_strikes"": -0.0016874743169894887}",0
2026-05-18 09:57:00+00,NIFTY,2026-05-19,23650,PE,"{""pcr_oi"": 1.375349689741337, ""bs_ce_iv"": 0.175650993070605, ""bs_pe_iv"": 0.20902660144517726, ""atm_ce_iv"": 16.92786861367319, ""atm_ce_oi"": 3848130.0, ""atm_pe_iv"": 21.524776367738994, ""atm_pe_oi"": 3487835.0, ""atm_ce_ltp"": 96.25, ""atm_pe_ltp"": 114.5, ""bs_ce_vega"": 5.478571607033777, ""bs_pe_vega"": 5.478541965056122, ""delta_skew"": -0.4969413709677419, ""atm_ce_vega"": 5.47639, ""atm_pe_vega"": 5.47727, ""bs_ce_delta"": 0.5020928719802239, ""bs_ce_gamma"": 0.0016538275694525783, ""bs_ce_theta"": -41.17587985853487, ""bs_pe_delta"": -0.4975297155514503, ""bs_pe_gamma"": 0.0013897507838408318, ""bs_pe_theta"": -44.38864824357968, ""index_close"": 23644.85, ""iv_skew_otm"": 4.981935064536287, ""time_of_day"": 42, ""atm_ce_delta"": 0.51384, ""atm_ce_gamma"": 0.00171, ""atm_ce_theta"": -40.94779, ""atm_pe_delta"": -0.48816, ""atm_pe_theta"": -44.68118, ""index_rsi_14"": 59.203036053127406, ""is_expiry_day"": 0, ""days_to_expiry"": 1, ""gamma_exposure"": 185744.58109999998, ""theta_pressure"": 696.03812, ""index_return_1m"": -0.00015222985015940507, ""index_return_5m"": -0.00032131977871223416, ""atm_ce_oi_change"": 2466685.0, ""atm_option_close"": 114.8, ""atm_pe_oi_change"": 1316250.0, ""index_return_15m"": 0.000171313999526212, ""index_trend_ma_9"": 0.45555555555256433, ""index_trend_ma_21"": 3.814285714284779, ""index_trend_ma_50"": 21.783999999996013, ""ce_oi_concentration"": 0.2975006308128667, ""pe_oi_concentration"": 0.287866836875725, ""atm_option_range_15m"": 28.05000000000001, ""atm_option_return_1m"": 0.007017543859649098, ""atm_option_return_5m"": 0.06542923433874707, ""index_volatility_15m"": 0.0002247835293410407, ""selected_security_id"": 51365, ""distance_from_max_pain"": 44.849999999998545, ""index_distance_from_vwap"": 131.6025355780621, ""atm_option_volatility_15m"": 0.03791221409779843, ""recent_low_breakdown_flag"": 0, ""ce_iv_slope_across_strikes"": 0.0005591691815944186, ""pe_iv_slope_across_strikes"": -0.0016874743169894887}",0
