time,symbol,expiry,strike,option_type,open,high,low,close,volume
2026-05-25 03:45:00+00,NIFTY,2026-05-26,23800,CE,185,219.95,177,205.4,1521000
2026-05-25 03:45:00+00,NIFTY,2026-05-26,23800,PE,61,74,45.05,52.9,1087320
2026-05-25 03:45:00+00,BANKNIFTY,2026-05-26,54000,CE,702,909.65,680,881.95,56400
2026-05-25 03:45:00+00,BANKNIFTY,2026-05-26,54000,PE,109.95,124.95,62.75,65.8,134370
2026-05-25 03:46:00+00,NIFTY,2026-05-26,23950,CE,115.5,124.1,115.15,117.65,2983045
2026-05-25 03:47:00+00,NIFTY,2026-05-26,23950,CE,121.5,125.55,119.35,124.2,1812265
2026-05-25 03:48:00+00,NIFTY,2026-05-26,23950,CE,125.4,131.95,124.65,126.05,2086435
2026-05-25 03:49:00+00,NIFTY,2026-05-26,23950,CE,127,127,122.75,124,1096810
2026-05-25 03:50:00+00,NIFTY,2026-05-26,23950,CE,125.8,126.2,121.75,122.05,593580
2026-05-25 03:46:00+00,NIFTY,2026-05-26,23950,PE,101.45,101.9,91.35,96.8,2704065
2026-05-25 03:47:00+00,NIFTY,2026-05-26,23950,PE,95.3,96.15,90,92.15,1887925
2026-05-25 03:48:00+00,NIFTY,2026-05-26,23950,PE,92.05,93.3,88.7,92.5,1566435
2026-05-25 03:49:00+00,NIFTY,2026-05-26,23950,PE,91.55,96.5,91.4,96.15,1524965
2026-05-25 03:50:00+00,NIFTY,2026-05-26,23950,PE,94.3,97.5,93.9,96.45,791895
2026-05-25 03:46:00+00,BANKNIFTY,2026-05-26,54900,CE,275.7,308.05,275.7,284.5,102690
2026-05-25 03:47:00+00,BANKNIFTY,2026-05-26,54900,CE,285.8,318,284.8,317.5,98490
2026-05-25 03:48:00+00,BANKNIFTY,2026-05-26,54900,CE,313.7,330.75,313.7,318.95,167280
2026-05-25 03:49:00+00,BANKNIFTY,2026-05-26,54900,CE,313.45,328,306.8,326.9,91410
2026-05-25 03:50:00+00,BANKNIFTY,2026-05-26,54900,CE,326.95,332.65,314.15,322.5,42030
2026-05-25 03:46:00+00,BANKNIFTY,2026-05-26,54900,PE,335.95,348.2,318.25,342.65,40830
2026-05-25 03:47:00+00,BANKNIFTY,2026-05-26,54900,PE,339.9,343,295.6,298.85,58920
2026-05-25 03:48:00+00,BANKNIFTY,2026-05-26,54900,PE,297.85,304.5,290,301.35,79830
2026-05-25 03:49:00+00,BANKNIFTY,2026-05-26,54900,PE,305.4,314.5,298.95,299,71490
2026-05-25 03:50:00+00,BANKNIFTY,2026-05-26,54900,PE,298.7,308.8,298.7,303.3,19770
2026-05-25 03:51:00+00,NIFTY,2026-05-26,24000,CE,99,100.75,96.1,98.4,2812550
2026-05-25 03:52:00+00,NIFTY,2026-05-26,24000,CE,97.75,101.55,95.75,96.05,2633345
2026-05-25 03:53:00+00,NIFTY,2026-05-26,24000,CE,95.05,101.35,92.1,101.15,4244305
2026-05-25 03:54:00+00,NIFTY,2026-05-26,24000,CE,100.9,105.9,98.65,98.95,5038280
2026-05-25 03:55:00+00,NIFTY,2026-05-26,24000,CE,99.2,105.15,98.25,105.15,1329250
2026-05-25 03:51:00+00,NIFTY,2026-05-26,24000,PE,116.85,120.6,115.9,117.5,986570
